Month,Day,Hour,AC System Output (kW)
6,12,15,0.545627
6,12,16,0.336663
6,12,17,0.381833
6,12,18,0.130238
6,12,19,0.127376
6,12,20,0.056368
6,12,21,0.013791
6,12,22,0
6,12,23,0
6,13,0,0
6,13,1,0
6,13,2,0
6,13,3,0
6,13,4,0
6,13,5,0.025236
6,13,6,0.064322
6,13,7,0.150508
6,13,8,0.015978
6,13,9,0.041721
6,13,10,0.06047
6,13,11,0.011907
6,13,12,0.033171
6,13,13,0.221118
6,13,14,0.516259
6,13,15,0.381484
6,13,16,0.620936
6,13,17,0.388027
6,13,18,0.106352
6,13,19,0.001326
6,13,20,0
6,13,21,0
6,13,22,0
6,13,23,0
6,14,0,0
6,14,1,0
6,14,2,0
6,14,3,0
6,14,4,0
6,14,5,0
6,14,6,0.000359
6,14,7,0.003988
6,14,8,0.05121
6,14,9,0.060873
6,14,10,0.023962
6,14,11,0.136056
6,14,12,0.084152
6,14,13,0.144296
6,14,14,0.342344
6,14,15,0.218285
6,14,16,0.233347
6,14,17,0.278404
6,14,18,0.440711
6,14,19,0.159966
6,14,20,0.063798
6,14,21,0.02061
6,14,22,0
6,14,23,0
6,15,0,0
6,15,1,0
6,15,2,0
6,15,3,0
6,15,4,0
6,15,5,0.042164
6,15,6,0.076317
6,15,7,0.219285
6,15,8,0.615992
6,15,9,0.709195
6,15,10,0.746958
6,15,11,0.767039
6,15,12,0.4165
6,15,13,0.076853
6,15,14,0.652665
6,15,15,0.772254
6,15,16,0.753734
6,15,17,0.71902
6,15,18,0.52967
6,15,19,0.215055
6,15,20,0.066066
6,15,21,0.029382
6,15,22,0
6,15,23,0
6,16,0,0
6,16,1,0
6,16,2,0
6,16,3,0
6,16,4,0
6,16,5,0.007185
6,16,6,0.027173
6,16,7,0.053159
6,16,8,0.052602
6,16,9,0.185493
6,16,10,0.220692
6,16,11,0.439657
6,16,12,0.523567
6,16,13,0.800929
6,16,14,0.792462
6,16,15,0.778158
6,16,16,0.76337
6,16,17,0.716044
6,16,18,0.617013
6,16,19,0.254379
6,16,20,0.063317
6,16,21,0.03146
6,16,22,0
6,16,23,0
6,17,0,0
6,17,1,0
6,17,2,0
6,17,3,0
6,17,4,0
6,17,5,0.038715
6,17,6,0.067954
6,17,7,0.208819
6,17,8,0.488629
6,17,9,0.739805
6,17,10,0.762004
6,17,11,0.777135
6,17,12,0.77621
6,17,13,0.595865
6,17,14,0.772131
6,17,15,0.410228
6,17,16,0.087759
6,17,17,0.414463
6,17,18,0.017212
6,17,19,0.036253
6,17,20,0.017359
6,17,21,0.002716
6,17,22,0
6,17,23,0
6,18,0,0
6,18,1,0
6,18,2,0
6,18,3,0
6,18,4,0
6,18,5,0.038522
6,18,6,0.066408
6,18,7,0.332481
6,18,8,0.686043
6,18,9,0.769724
6,18,10,0.807774
6,18,11,0.82501
6,18,12,0.824606
6,18,13,0.824576
6,18,14,0.721112
6,18,15,0.625057
6,18,16,0.634172
6,18,17,0.73475
6,18,18,0.632768
6,18,19,0.261877
6,18,20,0.060819
6,18,21,0.030865
6,18,22,0
6,18,23,0
6,19,0,0
6,19,1,0
6,19,2,0
6,19,3,0
6,19,4,0
6,19,5,0.039158
6,19,6,0.070733
6,19,7,0.219273
6,19,8,0.057802
6,19,9,0.737334
6,19,10,0.776973
6,19,11,0.78127
6,19,12,0.779414
6,19,13,0.776342
6,19,14,0.554104
6,19,15,0.623292
6,19,16,0.575619
6,19,17,0.582064
6,19,18,0.350806
6,19,19,0.144928
6,19,20,0.062272
6,19,21,0.015173
6,19,22,0
6,19,23,0
6,20,0,0
6,20,1,0
6,20,2,0
6,20,3,0
6,20,4,0
6,20,5,0.034406
6,20,6,0.082966
6,20,7,0.261666
6,20,8,0.170589
6,20,9,0.448639
6,20,10,0.750089
6,20,11,0.657709
6,20,12,0.773327
6,20,13,0.077445
6,20,14,0.24543
6,20,15,0.673567
6,20,16,0.502925
6,20,17,0.467194
6,20,18,0.108186
6,20,19,0.066569
6,20,20,0.033625
6,20,21,0.007497
6,20,22,0
6,20,23,0
6,21,0,0
6,21,1,0
6,21,2,0
6,21,3,0
6,21,4,0
6,21,5,0.031581
6,21,6,0.071801
6,21,7,0.206909
6,21,8,0.263954
6,21,9,0.225187
6,21,10,0.302206
6,21,11,0.367731
6,21,12,0.547646
6,21,13,0.669612
6,21,14,0.683391
6,21,15,0.635337
6,21,16,0.624375
6,21,17,0.678279
6,21,18,0.61209
6,21,19,0.211213
6,21,20,0.067522
6,21,21,0.030055
6,21,22,0
6,21,23,0
6,22,0,0
6,22,1,0
6,22,2,0
6,22,3,0
6,22,4,0
6,22,5,0
6,22,6,0.005453
6,22,7,0.012233
6,22,8,0.036788
6,22,9,0.030454
6,22,10,0.038924
6,22,11,0.310441
6,22,12,0.577464
6,22,13,0.76389
6,22,14,0.763494
6,22,15,0.398927
6,22,16,0.198496
6,22,17,0.171748
6,22,18,0.272566
6,22,19,0.067903
6,22,20,0.033585
6,22,21,0.007508
6,22,22,0
6,22,23,0
6,23,0,0
6,23,1,0
6,23,2,0
6,23,3,0
6,23,4,0
6,23,5,0
6,23,6,0.000814
6,23,7,0.004947
6,23,8,0.04121
6,23,9,0.047398
6,23,10,0.08492
6,23,11,0.108566
6,23,12,0.169099
6,23,13,0.323095
6,23,14,0.520739
6,23,15,0.407711
6,23,16,0.720764
6,23,17,0.680992
6,23,18,0.592633
6,23,19,0.252209
6,23,20,0.067032
6,23,21,0.032807
6,23,22,0
6,23,23,0
6,24,0,0
6,24,1,0
6,24,2,0
6,24,3,0
6,24,4,0
6,24,5,0.004984
6,24,6,0.020324
6,24,7,0.040969
6,24,8,0.023821
6,24,9,0.132302
6,24,10,0.44138
6,24,11,0.220907
6,24,12,0.75267
6,24,13,0.750126
6,24,14,0.757471
6,24,15,0.751433
6,24,16,0.730024
6,24,17,0.685649
6,24,18,0.464479
6,24,19,0.21476
6,24,20,0.062875
6,24,21,0.031836
6,24,22,0
6,24,23,0
6,25,0,0
6,25,1,0
6,25,2,0
6,25,3,0
6,25,4,0
6,25,5,0.036643
6,25,6,0.054917
6,25,7,0.139535
6,25,8,0.643592
6,25,9,0.725968
6,25,10,0.754311
6,25,11,0.772341
6,25,12,0.630805
6,25,13,0.458296
6,25,14,0.29302
6,25,15,0.540522
6,25,16,0.47982
6,25,17,0.571009
6,25,18,0.339072
6,25,19,0.068796
6,25,20,0.033385
6,25,21,0.007186
6,25,22,0
6,25,23,0
6,26,0,0
6,26,1,0
6,26,2,0
6,26,3,0
6,26,4,0
6,26,5,0
6,26,6,0.004978
6,26,7,0.012485
6,26,8,0.006042
6,26,9,0.026216
6,26,10,0.053373
6,26,11,0.105993
6,26,12,0.126917
6,26,13,0.029909
6,26,14,0.365796
6,26,15,0.198509
6,26,16,0.067658
6,26,17,0.352476
6,26,18,0.268038
6,26,19,0.055725
6,26,20,0.027184
6,26,21,0.005619
6,26,22,0
6,26,23,0
6,27,0,0
6,27,1,0
6,27,2,0
6,27,3,0
6,27,4,0
6,27,5,0.003439
6,27,6,0.017092
6,27,7,0.03527
6,27,8,0.027942
6,27,9,0.046017
6,27,10,0.073222
6,27,11,0.145361
6,27,12,0.451637
6,27,13,0.376431
6,27,14,0.275758
6,27,15,0.263879
6,27,16,0.143452
6,27,17,0.017834
6,27,18,0.012729
6,27,19,0.023617
6,27,20,0.010629
6,27,21,0.000922
6,27,22,0
6,27,23,0
6,28,0,0
6,28,1,0
6,28,2,0
6,28,3,0
6,28,4,0
6,28,5,0.017858
6,28,6,0.054407
6,28,7,0.140665
6,28,8,0.140162
6,28,9,0.074482
6,28,10,0.346427
6,28,11,0.62611
6,28,12,0.564713
6,28,13,0.455071
6,28,14,0.361103
6,28,15,0.4482
6,28,16,0.488651
6,28,17,0.365644
6,28,18,0.34772
6,28,19,0.195842
6,28,20,0.072479
6,28,21,0.022542
6,28,22,0
6,28,23,0
6,29,0,0
6,29,1,0
6,29,2,0
6,29,3,0
6,29,4,0
6,29,5,0
6,29,6,0.00134
6,29,7,0.006042
6,29,8,0.049283
6,29,9,0.031014
6,29,10,0.20053
6,29,11,0.237332
6,29,12,0.115219
6,29,13,0.101624
6,29,14,0.270739
6,29,15,0.415671
6,29,16,0.471422
6,29,17,0.303247
6,29,18,0.048578
6,29,19,0.012344
6,29,20,0.004914
6,29,21,0
6,29,22,0
6,29,23,0
6,30,0,0
6,30,1,0
6,30,2,0
6,30,3,0
6,30,4,0
6,30,5,0.007424
6,30,6,0.029389
6,30,7,0.058122
6,30,8,0.121073
6,30,9,0.136192
6,30,10,0.15004
6,30,11,0.225476
6,30,12,0.320645
6,30,13,0.224418
6,30,14,0.29388
6,30,15,0.764885
6,30,16,0.756156
6,30,17,0.554373
6,30,18,0.625849
6,30,19,0.265009
6,30,20,0.056715
6,30,21,0.030071
6,30,22,0
6,30,23,0
7,1,0,0
7,1,1,0
7,1,2,0
7,1,3,0
7,1,4,0
7,1,5,0.03397
7,1,6,0.041084
7,1,7,0.148114
7,1,8,0.338225
7,1,9,0.409675
7,1,10,0.330787
7,1,11,0.196727
7,1,12,0.485522
7,1,13,0.43479
7,1,14,0.59411
7,1,15,0.735798
7,1,16,0.714718
7,1,17,0.082974
7,1,18,0.372788
7,1,19,0.137856
7,1,20,0.059714
7,1,21,0.024276
7,1,22,0
7,1,23,0
7,2,0,0
7,2,1,0
7,2,2,0
7,2,3,0
7,2,4,0
7,2,5,0.005726
7,2,6,0.04745
7,2,7,0.278824
7,2,8,0.601844
7,2,9,0.449948
7,2,10,0.335319
7,2,11,0.616245
7,2,12,0.567403
7,2,13,0.641919
7,2,14,0.435216
7,2,15,0.754984
7,2,16,0.732
7,2,17,0.688018
7,2,18,0.590408
7,2,19,0.253908
7,2,20,0.064844
7,2,21,0.030295
7,2,22,0
7,2,23,0
7,3,0,0
7,3,1,0
7,3,2,0
7,3,3,0
7,3,4,0
7,3,5,0.032308
7,3,6,0.062123
7,3,7,0.279854
7,3,8,0.601656
7,3,9,0.694898
7,3,10,0.740746
7,3,11,0.758554
7,3,12,0.767565
7,3,13,0.771556
7,3,14,0.770706
7,3,15,0.769676
7,3,16,0.754011
7,3,17,0.712791
7,3,18,0.622655
7,3,19,0.181625
7,3,20,0.029312
7,3,21,0.018815
7,3,22,0
7,3,23,0
7,4,0,0
7,4,1,0
7,4,2,0
7,4,3,0
7,4,4,0
7,4,5,0.009579
7,4,6,0.025215
7,4,7,0.022728
7,4,8,0.075013
7,4,9,0.071331
7,4,10,0.022506
7,4,11,0.015425
7,4,12,0.023456
7,4,13,0.07219
7,4,14,0.102461
7,4,15,0.144594
7,4,16,0.103869
7,4,17,0.253777
7,4,18,0.140372
7,4,19,0.013601
7,4,20,0.003206
7,4,21,0.029712
7,4,22,0
7,4,23,0
7,5,0,0
7,5,1,0
7,5,2,0
7,5,3,0
7,5,4,0
7,5,5,0.025078
7,5,6,0.065107
7,5,7,0.221956
7,5,8,0.417363
7,5,9,0.427043
7,5,10,0.418975
7,5,11,0.331619
7,5,12,0.360762
7,5,13,0.301226
7,5,14,0.214013
7,5,15,0.190731
7,5,16,0.069185
7,5,17,0.326394
7,5,18,0.270617
7,5,19,0.047681
7,5,20,0.059024
7,5,21,0
7,5,22,0
7,5,23,0
7,6,0,0
7,6,1,0
7,6,2,0
7,6,3,0
7,6,4,0
7,6,5,0.00414
7,6,6,0.022255
7,6,7,0.024684
7,6,8,0.052695
7,6,9,0.020469
7,6,10,0.036105
7,6,11,0.110947
